name,date,rating,review
NotKs,"Jun 7, 2025",4,"fun at first, but eventually it just gets boring after you unlock a lot of stuff. also the villagers just have like 1 message of dialog that keeps repeating when you talk to them"
Colt123mario7,"Jun 6, 2025",10,"Que jogo maravilhoso! É muito relaxante, a trilha sonora é incrível, é divertido, você pode jogar por anos e ainda tem coisa para fazer. É muito legal a relação que você faz com os personagens e como você pode ajeitar a ilha do seu jeito."
FlashbackMT12,"Jun 6, 2025",7,"Animal Crossing: New Horizons was a fantastic escape during the COVID-19 pandemic that everybody needed. The definition of perfect timing. That being said, the game is held back by a severe lack of content updates, and very few reasons for me to go back to my island."
Gigglez,"May 13, 2025",10,"I come back to it every now and again and it still makes me happy. So much variety and customisation. A wonderful style that has me wanting so many things in game has in real life. There are some issues, repetitive characters, no mini games like previous ones apparently had and they stopped updating it way too early but given that I have 1000+ hours in it clearly I felt it was enough."
pat_bat_matt,"Apr 30, 2025",10,"An absolutely amazing game, it’s got something for everyone, no matter your age. The rich content, charming visuals, and outstanding crafting system are a total blast to play."
starrrrxmsmp,"Apr 27, 2025",4,"Exciting at first but heavily disappointig in retrospect. Much less content than new leaf. More of a builder simulator than a life sim like previous AC games. Many beloved characters gone, game feels flat, less stores, less upgrades, redundant dialogue, no mini games, online is useless and insanely time consuming to setup. If you use the game for what it’s good at (decorating) your switch will run the game at 15 fps."
Rat_du_49,"Apr 8, 2025",1,"J'ai joué plus de 250 heures à ce jeu et je regrette fortement d'y avoir perdu mon temps.
Si je devais résumer ce jeu en un mot, ce serait emmm*rdant, ou ennuyant à mourir, ou même nul à chi*r."
Timster2,"Apr 7, 2025",9,"This is an amazing game! The story is great, because you can design your own island! This is different from any other Animal Crossing game. Sure, you could do public works projects to put stuff outside. But this game allows you to put anything thing outside, and you're not limited to a few things. The sky's the limit. The villagers are so nice, but their text is pretty bland. For example, when one of your villager's are sitting down, when you talk to them they say, ""Sometimes I  just like to sit."" See what I mean! The gameplay can be a bit slow because it takes a day to build almost anything. But I understand, the game developers don't want you to build Rome in a day. What I mean by that is that they don't want you to get everything in a week because then you'll get bored. I wish that there was more house upgrades because New Leaf had a bit more, and New Horizons should have at least the same amount. This is still an amazing game! I would give it a 93/100, there are some minor problems, but they're so small that it doesn't matter."
Pinkphi,"Apr 5, 2025",10,"I spent many many hours playing it, the new update was great! We need more updates as once you purchase everything there is nothing new to explore. But is a great game! Highly recommend if you like relaxing games, decorating, fishing, collect bugs, design your island etc"
HaloBlues,"Apr 2, 2025",5,"The graphics are charming and genuinely pretty in places such as the sky/weather and the textures and designs of most of the villagers. It's easy to forget how good they are, but looking back at older games makes it clear that New Horizons is a massive graphical upgrade. Characters are appropriately adorable-looking, but completely devoid of personality. Villagers are the entire point of this franchise, as well as the bonds you form with yours, and yet in this game they've been reduced to window-dressing for your customised island who recite the same dozen generic lines identical to every other villager of the same type. A lot of my 'dream villagers' are of the same few types, and so I can be hitting nothing but repeated dialogues within literal minutes of opening the game. It's soulless. The gameplay is... fine. There are some good QoL improvements, such as the way clothes shopping now works at the Able Sisters and terraforming the land, but there are just... so many things that were a given in older games that have been cut out or have regressed in this one. The crafting system is awful and repetitive, DIY recipes are time-consuming to get and even then mostly just carbon copies of ones you already have, even golden tools (extremely difficult to construct) are now breakable, and shops have far fewer or no upgrades to uncover, just to name a few. You can have up to eight players on an island over online multiplayer, or up to four using local co-op. It's pretty much what you'd expect from Animal Crossing - you can run around together and visit each other's villagers (so you can experience their generic dialogue, too!) but aside from activities you can come up with and design yourself there's nothing to really do together. Overall, this game just... depresses me in a lot of ways. It's stripped back, sanitised, minimalised and ""streamlined"" in that corporate, modern game kind of way, where all the charm and heart is being lost in order to fit flashy new features to distract from all the ones that have been made worse. Sure, it was a nice refuge over lockdown, but it genuinely kind of angers me that that means this game is going down as a huge best-seller success when it's just... empty. It has the same kind of issue as Sims 4, to my mind, and the fact that so many players picked New Horizons up as their first Animal Crossing game means they don't even know what they're missing. I'll be returning to Wild World and perhaps even New Leaf, because playing this just reminds me I miss the old villagers."
